2024-09-25 22:30:29.253 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-baboon-25-sentyabrya/
2024-09-25 22:30:29.253 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-baboon-25-sentyabrya/ not found
2024-09-25 22:30:31.259 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://happycoin.club/visa-zapuskaet-ploshhadku-dlya-tokenizaczii-aktivov-na-ethereum/
2024-09-25 22:30:31.892 | ERROR    | utils.parser:__parse_happycoin:80 - [Errno 2] No such file or directory: 'utils/images/5/visa.jpg'
2024-09-25 22:30:33.902 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://happycoin.club/investory-otkazyvayutsya-ot-ethereum-v-polzu-solana/
2024-09-25 22:30:44.767 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://bits.media/v-kazakhstane-pod-vidom-tsentra-obrabotki-dvigateley-pryatalas-mayningovaya-ferma-/
2024-09-25 22:30:55.824 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-oxygen-miner-25-sentyabrya/
2024-09-25 22:30:55.824 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-oxygen-miner-25-sentyabrya/ not found
2024-09-25 22:30:57.847 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-zencoin-25-sentyabrya/
2024-09-25 22:30:57.847 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-zencoin-25-sentyabrya/ not found
2024-09-25 22:30:59.852 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://happycoin.club/trusttoken-truecoin-settle-sec-charges-over-misleading-tusd-claims/
2024-09-25 22:31:09.736 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://happycoin.club/byvshuyu-devushku-osnovatelya-kriptobirzhi-ftx-posadili-na-dva-goda/
2024-09-25 22:31:22.608 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://cryptocurrency.tech/bitget-research-btc-budet-torgovatsya-v-diapazone-ot-58-000-do-72-000-v-oktyabre/
2024-09-25 22:31:35.186 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://bits.media/bitget-research-tsena-bitkoina-v-sleduyushchem-mesyatse-prevysit-pokazateli-sentyabrya/
2024-09-25 22:31:45.086 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-bird-ton-25-sentyabrya/
2024-09-25 22:31:45.086 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-bird-ton-25-sentyabrya/ not found
2024-09-25 22:31:47.100 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://cryptocurrency.tech/charlz-hoskinson-raskritikoval-ethereum/
2024-09-25 22:31:51.484 | INFO     | utils.main_monitoring:start_monitoring:187 - monitoring already enabled
2024-09-25 22:31:56.892 | WARNING  | __main__:<module>:41 - Bot stopped
2024-09-25 22:32:00.882 | INFO     | utils.modes:__init__:7 - modding is off
2024-09-25 22:32:01.042 | INFO     | utils.main_monitoring:__init__:183 - scheduler initialized but not started
2024-09-25 22:32:01.048 | INFO     | __main__:start_params:19 - Bot started
2024-09-25 22:32:01.051 | INFO     | utils.main_monitoring:start_monitoring:194 - monitoring started
2024-09-25 22:32:01.053 | INFO     | utils.main_monitoring:parse_news:67 - parsing news from coinlenta...
2024-09-25 22:32:02.518 | INFO     | utils.main_monitoring:parse_news:82 - new links found
2024-09-25 22:32:02.519 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-holdcoin-25-sentyabrya/
2024-09-25 22:32:02.519 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-holdcoin-25-sentyabrya/ not found
2024-09-25 22:32:04.530 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://www.rbc.ru/crypto/news/66f3cf1a9a79474f674ae40a
2024-09-25 22:32:15.812 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://hashtelegraph.com/hoskinson-atakuet-pochemu-sozdatel-cardano-schitaet-ethereum-diktaturoj-buterina/
2024-09-25 22:32:26.698 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://ihodl.com/topnews/2024-09-25/bitcoin-etfs-attract-136-million/
2024-09-25 22:32:26.698 | ERROR    | utils.parser:fetch_news:60 - parser for https://ihodl.com/topnews/2024-09-25/bitcoin-etfs-attract-136-million/ not found
2024-09-25 22:32:28.707 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://bits.media/ester-pirs-sec-namerenno-ispolzuet-rasplyvchatye-formulirovki-v-otnoshenii-tsifrovykh-aktivov/
2024-09-25 22:32:39.986 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://happycoin.club/charlz-hoskinson-zayavil-chto-vitalik-buterin-stal-diktatorom/
2024-09-25 22:32:53.152 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://xrp-buy.ru/xlm/jeti-tri-osnovnye-monety-teper-dostupny-dlja-polzovatelej-robinhood-v-nju-jorke/
2024-09-25 22:32:53.562 | ERROR    | utils.parser:__parse_xrpbuy:232 - [Errno 2] No such file or directory: 'utils/images/%3C/svg%3E'
